bear_id,bear_sex,birth_year,cap_year,cap_lat,cap_lon,cap_radio,AK_effort
1737,F,1970,2001,70.71139573,-147.8381939,TRUE,109.25
1737,F,1970,2002,70.1449,-143.5677,TRUE,104.1333333
2663,F,1971,2003,70.90235199,-146.4749304,FALSE,114.2666667
6119,F,1980,2005,71.10957667,-153.5125936,FALSE,150.3166667
6160,F,1979,2001,70.51069794,-141.0177307,FALSE,109.25
6160,F,1979,2002,70.05581667,-145.6945333,TRUE,104.1333333
6160,F,1979,2003,75.0,-170.0,TRUE,114.2666667
6160,F,1979,2004,71.20838459,-153.8113028,TRUE,197
6285,F,1983,2004,71.47001139,-155.6984202,FALSE,197
6336,F,1982,2002,71.55604614,-153.8690527,FALSE,104.1333333
6336,F,1982,2004,71.50525716,-153.7786204,FALSE,197
6336,F,1982,2005,71.70274734,-153.7670517,FALSE,150.3166667
6336,F,1982,2007,71.64008179,-157.577832,FALSE,88.16666667
6348,F,1984,2005,70.41453705,-145.4423477,FALSE,150.3166667
6424,F,1983,2006,71.55594991,-155.2834178,FALSE,86.48333333
6434,F,1975,2002,70.8215744,-148.5796094,FALSE,104.1333333
6434,F,1975,2003,70.17455328,-145.3311759,TRUE,114.2666667
6493,M,1990,2001,70.58724213,-144.84021,FALSE,109.25
6520,F,1986,2001,71.20137245,-152.690439,TRUE,109.25
6520,F,1986,2002,71.24000992,-153.0891153,TRUE,104.1333333
6520,F,1986,2005,70.90547231,-148.0216766,FALSE,150.3166667
6520,F,1986,2006,70.68823268,-149.4126887,FALSE,86.48333333
6520,F,1986,2008,71.12104034,-152.2014435,FALSE,90.18333333
6524,F,1981,2001,70.4789723,-147.9365627,TRUE,109.25
6524,F,1981,2003,71.35953201,-157.7471292,FALSE,114.2666667
6524,F,1981,2004,70.75140127,-147.3448812,TRUE,197
6551,F,1981,2001,70.66060333,-147.7628635,TRUE,109.25
6616,F,1981,2001,70.56819262,-148.5519783,FALSE,109.25
6642,F,1973,2002,70.74612579,-147.9888885,FALSE,104.1333333
6681,M,1987,2004,70.14249166,-141.1199544,FALSE,197
6681,M,1987,2005,70.739,-142.7397,FALSE,150.3166667
6689,F,1989,2004,71.44299062,-155.7298533,FALSE,197
6700,F,1989,2001,70.50749512,-146.6519908,TRUE,109.25
6700,F,1989,2002,70.89817474,-148.2733679,TRUE,104.1333333
6700,F,1989,2005,70.89008102,-147.8814621,FALSE,150.3166667
6810,F,1989,2004,70.13278656,-143.2705261,FALSE,197
6813,F,1988,2001,70.69311269,-146.0452474,FALSE,109.25
6817,F,1988,2006,71.02532857,-147.5178487,FALSE,86.48333333
6836,F,1989,2005,70.3457489,-146.70749,FALSE,150.3166667
6836,F,1989,2006,70.71238937,-149.066807,FALSE,86.48333333
6838,F,1989,2001,70.5715711,-149.4670499,FALSE,109.25
